Maa / Country;Keski-ik� / Average age;Vuosi / Year
It�valta / Austria;8.9;2022
Tanska / Denmark;8.9;2022
Irlanti / Ireland;9.1;2022
Belgia / Belgium;9.8;2022
Sveitsi / Switzerland;10;2022
Saksa / Germany;10;2022
Iso-Britannia / UK;10.3;2022
Ruotsi / Sweden;10.7;2022
Ranska / France;10.8;2022
Norja / Norway;10.8;2022
Slovenia / Slovenia;11.2;2022
Alankomaat / Netherlands;11.7;2022
 EU average;12.3;2022
Italia / Italy;12.5;2022
Suomi / Finland;13.2;2023
Kroatia / Croatia;13.3;2022
Portugali / Portugal;13.6;2022
Espanja / Spain;13.9;2022
Unkari / Hungary;14.6;2022
Slovakia / Slovakia;14.7;2022
Liettua / Lithuania;14.7;2022
Puola / Poland;14.9;2022
Romania;14.9;2022
Latvia / Latvia;15.2;2022
Tsekki / Czech Rebulic;15.9;2022
Viro / Estonia;16.6;2022
Kreikka / Greece;17.3;2022
