Country,NUTS_CODE,NFI2015,CLC2018,HRL2015
Albania,AL,785000.0,711124.0,1091214.3
Austria,AT,3881000.0,3662419.0,3829544.2
Belgium,BE,689340.0,609947.0,793703.2
Bosnia-Herzegovina,BA,2160500.0,2373283.0,3181471.2
Bulgaria,BG,3833000.0,3475462.0,4591945.2
Croatia,HR,1922000.0,2015675.0,2794847.2
Cyprus,CY,172700.0,146909.0,258961.08
Czechia,CZ,2668390.0,2592992.0,2990650.1
Denmark,DK,624684.0798529888,390324.0,555964.52
Estonia,EE,2421006.0,2125395.0,2295098.7
Finland,FI,22409000.0,21487467.0,22107184.0
France,FR,16836000.0,14358209.0,17693131.0
Germany,DE,11419000.0,10814995.0,12151260.0
Greece,EL,3903000.0,2634025.0,5188190.8
Hungary,HU,2060820.0000000002,1744623.0,2051288.1
Iceland,IS,48162.13970716072,53755.0,24532.24
Ireland,IE,754670.0,454740.0,669440.36
Italy,IT,9297000.0,7923559.0,11928128.0
Latvia,LV,3391440.0,2429596.0,3143301.0
Liechtenstein,LI,6200.0,6854.0,7879.04
Lithuania,LT,2187000.0,1945062.0,2169064.1
Luxembourg,LU,86750.0,94149.0,97557.28
Malta,MT,300000.0,206.0,2101.92
Montenegro,ME,826780.0,571164.0,737741.6
Netherlands,NL,364830.0,316738.0,452136.6
Norway,NO,12141000.0,10785890.0,11762777.0
Poland,PL,9420000.0,9704904.0,10670473.0
Portugal,PT,3182098.6279901173,1713044.0,3056307.7
Romania,RO,6901000.0,7132398.0,8179522.7
Serbia,RS,2720000.0,2308750.0,3063292.3
Slovakia,SK,1921750.0,2053595.0,2275962.7
Slovenia,SI,1248000.0,1134579.0,1298896.9
Spain,ES,18551178.020428352,10916140.0,16527376.0
Sweden,SE,27980000.0,26471750.0,26831594.0
Switzerland,CH,1251910.0,1179192.0,1438431.6
North Macedonia,MK,994400.0,817171.0,1144486.2
Turkey,TR,21630300.0,11521010.0,20238631.0
United Kingdom,UK,3155000.0,2046627.0,2770252.0
EEA (1000 ha),EEA (1000 ha),204144908.86797863,170723722.0,210064338.83999997
EU27 (1000 ha),EU27 (1000 ha),158425656.72827145,138348902.0,164603630.36
