Country,NUTS_CODE,YEAR,STAT
Austria,AT,1990,75.3
Belgium,BE,1990,89.2
Bulgaria,BG,1990,34.9
Croatia,HR,1990,59.3
Cyprus,CY,1990,110.8
Czechia,CZ,1990,68
Denmark,DK,1990,100.3
Estonia,EE,1990,35.8
Finland,FI,1990,72.4
Greece,EL,1990,81.5
Hungary,HU,1990,72.6
Italy,IT,1990,48
Latvia,LV,1990,32.1
Netherlands,NL,1990,58
Portugal,PT,1990,74.6
Romania,RO,1990,54
Slovakia,SK,1990,53.7
Slovenia,SI,1990,34.8
Spain,ES,1990,61.8
United Kingdom,UK,1990,40.9
EU28,EU28,1990,62.9
Austria,AT,2000,60.5
Belgium,BE,2000,76.9
Bulgaria,BG,2000,27.7
Croatia,HR,2000,52.9
Cyprus,CY,2000,57.6
Czechia,CZ,2000,75.6
Denmark,DK,2000,100.5
Estonia,EE,2000,105.5
Finland,FI,2000,85.9
Germany,DE,2000,76.8
Hungary,HU,2000,83.8
Italy,IT,2000,47.5
Latvia,LV,2000,87.8
Netherlands,NL,2000,60.8
Portugal,PT,2000,66.4
Romania,RO,2000,49.3
Slovakia,SK,2000,56.9
Slovenia,SI,2000,34.7
Spain,ES,2000,52.6
United Kingdom,UK,2000,45.9
EU28,EU28,2000,65.28
Austria,AT,2005,93.5
Belgium,BE,2005,93.3
Bulgaria,BG,2005,49.3
Croatia,HR,2005,59.1
Cyprus,CY,2005,26
Czechia,CZ,2005,84.4
Denmark,DK,2005,101
Estonia,EE,2005,58.6
Finland,FI,2005,77.1
Germany,DE,2005,79.1
Hungary,HU,2005,71.4
Italy,IT,2005,42.4
Lithuania,LT,2005,87.4
Netherlands,NL,2005,48
Portugal,PT,2005,75.4
Romania,RO,2005,57.4
Slovakia,SK,2005,70.8
Slovenia,SI,2005,39.2
Spain,ES,2005,51.4
Sweden,SE,2005,118.3
United Kingdom,UK,2005,48
EU28,EU28,2005,68.14
Austria,AT,2010,93.5
Belgium,BE,2010,84.3
Bulgaria,BG,2010,48.5
Croatia,HR,2010,67
Cyprus,CY,2010,19.9
Czechia,CZ,2010,85.2
Denmark,DK,2010,62.7
Estonia,EE,2010,63.7
Finland,FI,2010,73
France,FR,2010,47.3
Germany,DE,2010,80.3
Hungary,HU,2010,76.2
Ireland,IE,2010,52.5
Italy,IT,2010,39.2
Latvia,LV,2010,65.2
Lithuania,LT,2010,78.3
Netherlands,NL,2010,47.3
Poland,PL,2010,74.8
Romania,RO,2010,60.2
Slovakia,SK,2010,77.4
Slovenia,SI,2010,37.1
Spain,ES,2010,55.5
Sweden,SE,2010,101.8
United Kingdom,UK,2010,50.5
EU28,EU28,2010,64.22
